Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
33 "Intel Core i7-13700HX" "Raptor Lake-HX" 24MB + 30MB 55 1500 ‑ 5000 16/24 57.2 272n9 3348.5n10 1875n9 21516n9 22.4n9 157.5n8 6166n9 78076n9 1845n9 14942n9 309.5n8
34 "Intel Core i7-12700K" "Alder Lake" 12MB + 25MB 125 2700 ‑ 5000 12/20 56.4 272 3325 1850.5n2 19784n2 20.5n2 173.1n2 6269.5n2 73438.5n2 1911.5n2 14016n2 303.5n2
35 "Intel Core i9-13900HK" "Raptor Lake-H" 11.5MB + 24MB 45 1900 ‑ 5400 14/20 ~52.891% 279 2950 1960 19704 21.9  5864 77190 1942 14985 297
36* "Intel Core Ultra 9 185H" "Meteor Lake" + 24MB 28 3800 ‑ 5100 16/22            
37 "Intel Core i9-13905H" "Raptor Lake-H" 11.5MB + 24MB 45 1900 ‑ 5400 14/20 54.3 246n3 2857n3 2020n3 20034n3 21.2n3 173n3 5520n3 69892n3 1685n3 13707n3 301.5n2
38 "Intel Core i9-13900H" "Raptor Lake-H" 11.5MB + 24MB 45 1900 ‑ 5400 14/20 56.8 282.5n20 2812n20 1974n19 17959n21 19.4n19 191.5n18 6276n19 70581n19 1974n19 13360n19 318n14
39* "Apple M3 Max 14-Core"   78 2748 ‑ 4056 14/14            
40* "Intel Core Ultra 7 165H" "Meteor Lake" + 24MB 28 3800 ‑ 5000 16/22 ~49.618%         1853 11733 
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
41 "Intel Core i7-13800H" "Raptor Lake-H" 11.5MB + 24MB 45 1800 ‑ 5200 14/20 57 287 2765 2017 17591 20 191 6310 70500 1972 12880 314
42 "AMD Ryzen 9 5900X" "Vermeer (Zen3)" 6MB + 64MB 105 3700 ‑ 4800 12/24 53.9 250n5 2695n5 1527n5 16262n5 24.9n22 154.2n23 6582n23 90443n23 1604n25 11765n25 279n19
43 "Intel Core i9-10980XE" "Cascade Lake" 18MB + 24.8MB 165 3000 ‑ 4600 18/36 ~53.782% 208n3 3744n3   27n2 130n2 5370.5n2 93076.5n2 1260 16480 239
